xvalue,counts
1,4290
3,637
5,288
7,198
9,97
11,97
13,66
15,28
17,24
19,25
21,30
23,31
25,28
27,14
29,2
33,100
35,17
37,11
39,12
43,1
51,8
53,7
55,1
57,4
59,1
61,25
67,10
69,1
77,1
79,1
141,2
163,2
165,2
175,2
177,2
179,10
181,100
205,2
213,6
253,2
257,2
259,2
265,2
277,2
279,2
289,1
307,2
343,1
347,14
351,2
353,6
363,1
397,1
415,3
467,2
543,2
