xvalue,counts
1,4165
3,593
5,263
7,171
9,99
11,131
13,62
15,24
17,30
19,27
21,39
23,15
25,37
27,2
29,4
31,1
33,114
35,11
37,4
39,8
41,2
43,3
47,1
51,16
53,1
55,4
57,25
59,1
61,1
67,2
81,1
85,2
91,2
153,2
161,2
167,2
169,2
171,6
175,4
177,2
181,98
189,4
199,2
209,1
217,2
221,4
237,2
243,2
247,2
249,2
255,1
257,2
285,2
287,2
315,1
333,5
347,1
351,14
387,1
451,3
477,2
499,1
501,2
