xvalue,counts
1,4102
3,648
5,291
7,173
9,78
11,88
13,65
15,25
17,33
19,26
21,25
23,34
25,23
27,4
29,3
31,6
33,66
35,8
39,9
41,6
43,1
51,8
59,38
63,1
65,1
67,11
71,9
77,1
81,4
83,1
85,4
95,2
97,4
99,1
107,2
109,2
111,2
121,2
125,2
129,2
131,4
133,4
135,2
137,2
145,2
151,2
167,4
175,2
177,2
181,94
187,4
211,2
213,4
247,2
249,1
259,1
265,2
269,2
281,1
299,1
303,1
313,1
339,1
343,1
347,14
355,5
453,3
