xvalue,counts
1,891
2,80
3,138
4,48
5,42
6,9
7,42
8,14
9,25
10,4
11,6
12,37
13,2
16,3
17,17
18,13
19,17
20,1
21,3
22,1
23,4
24,1
25,2
27,2
28,4
31,2
32,2
34,37
35,3
36,2
38,10
39,8
40,6
41,3
42,15
44,2
46,8
48,2
53,1
61,1
64,6
65,10
68,2
70,1
73,1
75,1
77,1
78,3
80,29
81,4
82,2
84,2
85,5
86,2
87,1
88,2
89,1
90,1
92,2
96,5
98,19
102,2
103,1
114,1
117,1
125,3
130,1
136,39
137,2
138,1
142,2
146,3
149,1
151,1
156,1
163,1
177,2
202,5
203,2
204,1
206,1
215,9
217,10
218,2
231,10
