xvalue,counts
1,1851
2,115
3,481
4,49
5,117
6,39
7,53
8,23
9,83
10,12
11,50
12,16
13,17
14,20
15,44
16,19
17,25
18,3
19,18
20,4
21,2
22,15
23,7
24,1
25,2
26,15
27,7
28,1
29,19
30,4
31,18
32,37
33,6
35,3
37,4
38,3
41,2
44,2
45,2
47,2
49,2
50,2
51,54
52,4
53,2
54,2
55,4
57,67
63,51
64,3
65,2
68,2
71,44
73,2
76,2
80,2
84,2
86,1
87,2
88,4
91,5
93,3
94,4
96,2
97,3
102,2
107,2
108,2
113,1
127,1
170,1
