xvalue,counts
1,1900
2,201
3,240
4,92
5,92
6,90
7,57
8,58
9,35
10,41
11,28
12,12
13,9
14,32
15,71
16,43
17,29
18,26
19,26
20,13
21,18
23,14
24,3
25,2
26,6
27,19
28,2
29,33
30,1
31,18
33,27
34,2
35,5
37,2
41,8
43,8
44,2
48,8
50,10
51,4
54,2
57,6
59,1
65,12
66,2
68,2
74,6
76,1
87,2
89,2
95,1
101,44
102,1
107,2
110,2
117,4
118,14
121,1
131,1
140,2
146,2
154,21
159,2
258,2
263,4
279,2
315,2
316,2
334,2
342,2
346,2
